enunciado;resposta;justificativa
"O objetivo da Especificação de Histograma é sempre transformar a imagem de entrada para que ela tenha um histograma perfeitamente plano (uniforme), assim como a equalização.";False;"Falso — Esse é o objetivo da Equalização. A Especificação visa transformar a imagem para que seu histograma corresponda a uma forma específica e pré-definida, que pode ser qualquer distribuição, não necessariamente uniforme."

"Em uma imagem de 3 bits (

L=8), a equalização de histograma sempre mapeará o nível de cinza mais alto presente na imagem para o valor de saída 7.";True;"Verdadeiro — A transformação de equalização, s 
k
​
 =(L−1)∑p 
r
​
 (r 
j
​
 ), garante que a FDA do último nível de cinza presente (cujo valor da FDA é 1) seja mapeada para o valor máximo. O cálculo será 

(8−1)×1=7."

"A variância do histograma de uma imagem é uma medida estatística que se correlaciona diretamente com a percepção subjetiva de brilho da imagem.";False;"Falso — A variância se correlaciona com o contraste. A 

média do histograma é a medida que se correlaciona com o brilho."

"A equalização de histograma em uma imagem discreta sempre resultará em um histograma perfeitamente plano, onde a contagem de pixels para cada nível de cinza é idêntica.";False;"Falso — No caso discreto, o resultado é apenas uma aproximação de um histograma plano. Devido aos arredondamentos e ao mapeamento de múltiplos níveis de entrada para um único de saída, o histograma final terá picos e vales."

"No realce local utilizando estatísticas, para clarear seletivamente apenas as áreas escuras de uma imagem, um critério seria aplicar um fator de multiplicação maior que 1 somente em vizinhanças onde a média local (m 
S 
xy
​
 
​
 ) está abaixo de um determinado limiar.";True;"Verdadeiro — Este é um exemplo perfeito de realce adaptativo. A média local é usada para identificar as regiões escuras, e o realce é aplicado condicionalmente apenas nessas regiões."

"A transformação negativa de uma imagem (s=L−1−r) é um exemplo de operação global que depende do histograma da imagem.";False;"Falso — É uma operação de transformação de intensidade independente do histograma (não adaptativa). A fórmula é fixa e aplicada a cada pixel da mesma forma, independentemente da distribuição de intensidades da imagem."

"A etapa de Segmentação, que visa definir o que é objeto e o que é plano de fundo em uma imagem, ocorre antes do Pré-processamento, como a redução de ruído.";False;"Falso — A ordem correta das fases é 

Aquisição, depois Pré-processamento (onde se inclui a redução de ruído) e só então a Segmentação. É fundamental 'limpar' a imagem antes de tentar segmentá-la."

"O realce local utilizando estatísticas, como a média e a variância, é uma técnica de transformação global, pois os mesmos parâmetros (E, k0, k1, k2) são aplicados a toda a imagem.";False;"Falso — É uma técnica de realce local. Embora os parâmetros possam ser globais, a decisão de aplicar ou não a transformação é feita localmente para cada pixel, com base nas estatísticas de sua vizinhança."

"A transformação de potência (gama) é um exemplo de transformação de intensidade onde a função de mapeamento s=T(r) é derivada do histograma da imagem de entrada.";False;"Falso — A transformação de potência, s=cr 
γ
 , é uma função fixa. Sua forma não depende do conteúdo da imagem, apenas dos parâmetros c e γ escolhidos pelo usuário. A equalização de histograma é que deriva sua função de mapeamento do histograma da imagem."

"A imagem processada por um filtro de mediana terá sempre como valores de pixel um subconjunto dos valores de pixels da imagem original.";True;"Verdadeiro — O filtro de mediana substitui o pixel central pelo valor mediano de sua vizinhança. Como a mediana é sempre um dos valores existentes na vizinhança, o filtro não cria novos valores de intensidade, ao contrário do filtro de média."

"Se o histograma de uma imagem for um único pico muito estreito, a variância será alta, indicando alto contraste.";False;"Falso — Um único pico estreito indica que todos os pixels têm valores de intensidade muito próximos. Isso corresponde a uma variância muito baixa e, consequentemente, a um contraste muito baixo."

"A principal razão para usar a função de transformação monotonicamente crescente na equalização é garantir que a média do histograma da imagem de saída seja sempre maior que a da imagem de entrada.";False;"Falso — A razão é para preservar a ordem tonal da imagem, garantindo que pixels escuros permaneçam escuros e pixels claros permaneçam claros em relação uns aos outros. A média pode aumentar, diminuir ou permanecer a mesma dependendo da distribuição original."

"A transformação Negativo de Imagem é um caso especial de transformação linear por partes.";True;"Verdadeiro — A transformação s=L−1−r é uma função linear (uma reta com inclinação -1). Portanto, ela pode ser perfeitamente representada como uma transformação linear de uma única parte."

"Uma imagem com resolução espacial de 1024x1024 e profundidade de 8 bits ocupará menos espaço de armazenamento que uma imagem de 512x512 com profundidade de 16 bits.";False;"Falso — Vamos calcular o número total de bits: Imagem A = 1024×1024×8≈8.38 milhões de bits. Imagem B = 512×512×16≈4.19 milhões de bits. Portanto, a imagem A ocupa o dobro do espaço."

"A técnica de Fatiamento por Planos de Bits é uma transformação de intensidade irreversível.";False;"Falso — É perfeitamente reversível. A imagem original pode ser reconstruída sem perdas somando-se todos os planos de bits, cada um multiplicado pela sua potência de 2 correspondente (

plano 
n
​
 ×2 
n
 )."

"A equalização de histograma funciona melhor em imagens com histogramas bimodais ou multimodais do que em imagens com histogramas unimodais (um único pico).";True;"Verdadeiro — Em histogramas com múltiplos picos (representando, por exemplo, objeto e fundo), a equalização é muito eficaz em 'esticar' os vales entre os picos, aumentando significativamente a separabilidade e o contraste entre as diferentes regiões da imagem."

"O ruído em uma imagem, por ser aleatório, não afeta o cálculo do seu histograma.";False;"Falso — O ruído afeta, sim. Ele tende a 'espalhar' os picos do histograma, tornando-os mais largos e baixos. Ruído aditivo, por exemplo, pode introduzir novos níveis de cinza que não existiam na imagem original, alterando a distribuição de probabilidade."
